Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
A Zampa,15,10,3,69,29,9.85,85,81.17,0,0,1,8,0,2023/24
A Zampa,3,2,1,48,36,48,69,69.56,0,0,0,6,0,2021
A Zampa,6,3,2,30,16,30,40,75,0,0,0,3,0,2022
A Zampa,7,4,2,17,7*,8.5,20,85,0,0,0,2,0,2019/20
A Zampa,11,2,0,10,8,5,16,62.5,0,0,0,0,0,2018/19
A Zampa,6,3,2,10,10*,10,17,58.82,0,0,1,1,0,2022/23
A Zampa,3,2,0,7,5,3.5,28,25,0,0,0,0,0,2020
A Zampa,3,1,0,4,4,4,7,57.14,0,0,0,0,0,2020/21
A Zampa,4,2,1,1,1,1,3,33.33,0,0,0,0,0,2019
AC Agar,4,3,1,45,25,22.5,46,97.82,0,0,0,3,0,2019/20
AC Agar,3,2,1,35,18*,35,33,106.06,0,0,0,0,2,2022/23
AC Agar,1,1,0,28,28,28,28,100,0,0,0,2,0,2020/21
AC Agar,3,2,0,3,3,1.5,13,23.07,0,0,1,0,0,2022
AT Carey,10,9,3,375,85,62.5,360,104.16,0,3,0,46,2,2019
AT Carey,11,11,3,328,85,41,399,82.2,0,1,0,24,2,2022
AT Carey,13,11,3,230,55,28.75,261,88.12,0,1,1,23,1,2018/19
AT Carey,3,3,0,152,106,50.66,165,92.12,1,0,0,10,2,2020
AT Carey,8,8,0,147,99,18.37,156,94.23,0,1,1,13,4,2023/24
AT Carey,3,3,0,112,67,37.33,152,73.68,0,1,0,9,2,2021
AT Carey,7,6,0,80,35,13.33,95,84.21,0,0,1,7,1,2019/20
AT Carey,5,4,1,71,38,23.66,81,87.65,0,0,1,6,1,2022/23
AT Carey,3,3,0,65,56,21.66,75,86.66,0,1,0,6,1,2021/22
AT Carey,3,2,1,55,38,55,55,100,0,0,0,6,0,2020/21
C Green,8,6,4,170,89*,85,178,95.5,0,1,0,14,5,2022
C Green,8,8,1,140,47,20,190,73.68,0,0,0,14,1,2023/24
C Green,3,3,1,79,40*,39.5,88,89.77,0,0,0,4,2,2021/22
C Green,3,2,1,32,20*,32,47,68.08,0,0,0,3,0,2022/23
C Green,1,1,0,21,21,21,27,77.77,0,0,0,1,1,2020/21
DA Warner,17,17,0,866,163,50.94,769,112.61,3,6,1,92,34,2023/24
DA Warner,10,10,1,647,166,71.88,724,89.36,3,3,0,66,8,2019
DA Warner,10,10,0,344,99,34.4,393,87.53,0,3,1,47,4,2022
DA Warner,7,7,1,277,128*,46.16,278,99.64,1,1,0,35,4,2019/20
DA Warner,4,4,0,231,106,57.75,234,98.71,1,1,0,21,3,2022/23
DA Warner,2,2,0,152,83,76,153,99.34,0,2,0,13,3,2020/21
DA Warner,3,3,0,36,24,12,57,63.15,0,0,0,3,0,2020
GJ Maxwell,13,12,1,458,98,41.63,362,126.51,0,3,0,48,14,2018/19
GJ Maxwell,8,8,2,402,201*,67,267,150.56,2,0,1,40,22,2023/24
GJ Maxwell,11,10,2,252,80*,31.5,211,119.43,0,1,0,23,12,2022
GJ Maxwell,3,3,0,186,108,62,157,118.47,1,1,0,8,11,2020
GJ Maxwell,10,10,2,177,46*,22.12,118,150,0,0,1,19,7,2019
GJ Maxwell,3,3,1,167,63*,83.5,86,194.18,0,2,0,12,11,2020/21
GJ Maxwell,1,1,0,8,8,8,10,80,0,0,0,1,0,2022/23
JP Inglis,13,12,0,233,58,19.41,219,106.39,0,2,2,25,6,2023/24
JP Inglis,1,1,0,26,26,26,27,96.29,0,0,0,1,1,2022/23
JP Inglis,2,2,0,15,10,7.5,26,57.69,0,0,0,2,0,2022
JR Hazlewood,14,8,5,40,23,13.33,29,137.93,0,0,1,5,2,2023/24
JR Hazlewood,11,4,3,27,23*,27,22,122.72,0,0,1,2,1,2022
JR Hazlewood,4,2,1,2,1*,2,6,33.33,0,0,0,0,0,2019/20
M Labuschagne,17,16,1,707,124,47.13,802,88.15,1,4,0,75,4,2023/24
M Labuschagne,7,6,0,305,108,50.83,323,94.42,1,2,1,21,0,2019/20
M Labuschagne,8,8,0,173,52,21.62,273,63.36,0,1,1,6,0,2022
M Labuschagne,6,5,1,113,58,28.25,132,85.6,0,1,0,7,2,2022/23
M Labuschagne,3,3,0,89,48,29.66,120,74.16,0,0,0,5,0,2020
M Labuschagne,3,3,0,88,59,29.33,94,93.61,0,1,0,7,0,2021/22
M Labuschagne,3,3,0,79,70,26.33,76,103.94,0,1,0,6,0,2020/21
MA Starc,9,8,1,72,28,10.28,115,62.6,0,0,1,5,1,2023/24
MA Starc,10,8,2,68,29,11.33,76,89.47,0,0,1,3,2,2019
MA Starc,6,3,1,41,38*,20.5,54,75.92,0,0,0,2,1,2022
MA Starc,3,3,2,30,19*,30,16,187.5,0,0,1,2,2,2020
MA Starc,3,2,0,27,19,13.5,50,54,0,0,0,3,0,2021
MA Starc,6,5,1,23,9*,5.75,35,65.71,0,0,1,1,0,2019/20
MA Starc,5,3,1,14,10,7,22,63.63,0,0,1,1,1,2022/23
MP Stoinis,12,10,2,242,52,30.25,296,81.75,0,1,0,22,4,2018/19
MP Stoinis,10,9,1,161,35,20.12,133,121.05,0,0,0,20,5,2023/24
MP Stoinis,3,3,0,94,49,31.33,94,100,0,0,0,7,3,2021/22
MP Stoinis,8,7,1,87,22,14.5,113,76.99,0,0,2,14,0,2019
MP Stoinis,6,5,0,71,44,14.2,77,92.2,0,0,1,6,3,2022
MP Stoinis,3,3,0,56,43,18.66,55,101.81,0,0,0,7,1,2020
MP Stoinis,6,4,0,55,25,13.75,63,87.3,0,0,0,4,1,2022/23
MP Stoinis,1,1,0,0,0,0,1,0,0,0,1,0,0,2020/21
MR Marsh,15,15,1,649,177*,46.35,584,111.13,2,3,2,71,30,2023/24
MR Marsh,5,5,1,274,81,68.5,223,122.86,0,3,0,27,16,2022/23
MR Marsh,4,4,0,111,36,27.75,139,79.85,0,0,0,8,1,2019/20
MR Marsh,3,3,0,76,73,25.33,114,66.66,0,1,0,6,0,2020
MR Marsh,4,4,0,62,26,15.5,103,60.19,0,0,0,7,1,2022
MR Marsh,3,3,0,57,29,19,60,95,0,0,0,5,3,2021
PJ Cummins,11,9,5,154,37,38.5,188,81.91,0,0,0,14,6,2023/24
PJ Cummins,10,8,1,51,23*,7.28,68,75,0,0,1,3,0,2019
PJ Cummins,4,3,0,39,35,13,51,76.47,0,0,1,3,0,2022
PJ Cummins,6,5,1,26,14*,6.5,27,96.29,0,0,2,1,1,2019/20
PJ Cummins,3,3,1,24,11,12,31,77.41,0,0,0,1,1,2020
PJ Cummins,6,4,2,17,15,8.5,14,121.42,0,0,1,2,0,2018/19
SPD Smith,11,11,1,383,74,38.3,424,90.33,0,3,2,38,4,2023/24
SPD Smith,10,10,0,379,85,37.9,441,85.94,0,4,0,33,2,2019
SPD Smith,7,6,0,352,131,58.66,388,90.72,1,2,0,30,3,2019/20
SPD Smith,8,8,2,344,105,57.33,455,75.6,1,2,0,38,3,2022
SPD Smith,6,5,1,217,94,54.25,241,90.04,0,2,1,20,2,2022/23
SPD Smith,3,3,0,216,105,72,145,148.96,2,0,0,25,6,2020/21
TH David,4,4,0,45,35,11.25,53,84.9,0,0,0,3,3,2023/24
TM Head,6,6,1,329,152,65.8,286,115.03,1,2,0,44,7,2022/23
TM Head,8,8,1,282,109,40.28,189,149.2,1,1,1,35,13,2023/24
TM Head,3,3,0,190,101,63.33,143,132.86,1,1,1,18,8,2021/22
TM Head,3,3,1,120,70*,60,132,90.9,0,1,0,8,3,2022
