Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Season
A Zampa,15,15,138,4,813,33,4/8,24.63,5.89,25,4,0,2023/24
A Zampa,11,11,108.4,2,579,18,4/43,32.16,5.32,36.2,1,0,2018/19
A Zampa,6,6,43.3,2,219,15,4/31,14.6,5.03,17.4,3,0,2022/23
A Zampa,6,6,50.5,0,236,13,5/35,18.15,4.64,23.4,0,1,2022
A Zampa,7,7,68,0,338,10,3/50,33.8,4.97,40.8,0,0,2019/20
A Zampa,3,3,30,0,142,10,4/55,14.2,4.73,18,1,0,2020
A Zampa,3,3,30,0,161,7,4/54,23,5.36,25.7,1,0,2020/21
A Zampa,3,3,29,0,159,6,4/38,26.5,5.48,29,1,0,2021/22
A Zampa,4,4,33,0,236,5,3/60,47.2,7.15,39.6,0,0,2019
A Zampa,3,3,22.2,3,111,5,2/29,22.2,4.97,26.8,0,0,2021
AC Agar,3,3,18,0,80,4,2/49,20,4.44,27,0,0,2022
AC Agar,4,4,37,1,205,2,1/38,102.5,5.54,111,0,0,2019/20
AC Agar,1,1,10,0,44,2,2/44,22,4.4,30,0,0,2020/21
AC Agar,1,1,10,1,31,2,2/31,15.5,3.1,30,0,0,2021
AC Agar,3,3,27,0,144,2,2/41,72,5.33,81,0,0,2022/23
AC Agar,1,1,9,0,40,1,1/40,40,4.44,54,0,0,2023/24
C Green,8,8,41,0,185,11,5/33,16.81,4.51,22.3,0,1,2022
C Green,8,6,39.4,0,279,5,2/103,55.8,7.03,47.6,0,0,2023/24
GJ Maxwell,11,9,66,2,324,9,4/52,36,4.9,44,1,0,2022
GJ Maxwell,8,7,62.3,1,300,9,4/40,33.33,4.8,41.6,1,0,2023/24
GJ Maxwell,13,12,71,1,386,5,1/16,77.2,5.43,85.2,0,0,2018/19
GJ Maxwell,3,3,16.4,0,116,1,1/34,116,6.96,100,0,0,2020/21
JR Hazlewood,14,14,122.1,7,675,20,3/38,33.75,5.52,36.6,0,0,2023/24
JR Hazlewood,11,11,95.3,12,379,12,3/30,31.58,3.96,47.7,0,0,2022
JR Hazlewood,4,4,39.3,2,192,6,2/37,32,4.86,39.5,0,0,2019/20
JR Hazlewood,3,3,29,1,180,6,3/55,30,6.2,29,0,0,2020/21
JR Hazlewood,2,2,14,2,29,5,3/11,5.8,2.07,16.8,0,0,2021
JR Hazlewood,3,3,30,5,121,4,3/26,30.25,4.03,45,0,0,2020
JR Hazlewood,2,2,14,1,54,3,2/33,18,3.85,28,0,0,2022/23
MA Starc,10,10,92.2,5,502,27,5/26,18.59,5.43,20.5,2,2,2019
MA Starc,5,5,45.5,2,261,13,5/53,20.07,5.69,21.1,1,1,2022/23
MA Starc,3,3,27.1,2,117,11,5/48,10.63,4.3,14.8,0,1,2021
MA Starc,6,6,50.2,4,199,11,3/24,18.09,3.95,27.4,0,0,2022
MA Starc,9,9,74,1,492,11,2/43,44.72,6.64,40.3,0,0,2023/24
MA Starc,6,6,55.3,0,345,6,3/56,57.5,6.21,55.5,0,0,2019/20
MA Starc,3,3,30,1,159,5,3/74,31.8,5.3,36,0,0,2020
MA Starc,2,2,18,0,147,1,1/65,147,8.16,108,0,0,2020/21
MP Stoinis,12,12,66.4,0,421,8,2/20,52.62,6.31,50,0,0,2018/19
MP Stoinis,10,10,50,1,342,8,2/20,42.75,6.84,37.5,0,0,2023/24
MP Stoinis,8,8,40,1,244,7,2/37,34.85,6.1,34.2,0,0,2019
MP Stoinis,6,4,24.1,1,122,4,2/27,30.5,5.04,36.2,0,0,2022/23
MP Stoinis,6,5,16,0,57,2,1/6,28.5,3.56,48,0,0,2022
MP Stoinis,3,2,6,0,32,1,1/23,32,5.33,36,0,0,2021/22
PJ Cummins,6,6,55.2,5,243,17,5/70,14.29,4.39,19.5,1,1,2018/19
PJ Cummins,10,10,86.1,6,427,14,3/33,30.5,4.95,36.9,0,0,2019
PJ Cummins,11,11,87.5,1,533,12,2/32,44.41,6.06,43.9,0,0,2023/24
PJ Cummins,6,6,55,5,290,9,3/25,32.22,5.27,36.6,0,0,2019/20
PJ Cummins,4,4,31.5,3,142,8,4/35,17.75,4.46,23.8,1,0,2022
PJ Cummins,2,2,16,2,87,5,3/62,17.4,5.43,19.2,0,0,2022/23
PJ Cummins,3,3,30,3,183,3,1/53,61,6.1,60,0,0,2020
PJ Cummins,2,2,18,0,119,3,3/67,39.66,6.61,36,0,0,2020/21
SA Abbott,7,7,59.3,2,383,9,2/50,42.55,6.43,39.6,0,0,2023/24
SA Abbott,4,4,33,0,149,6,3/23,24.83,4.51,33,0,0,2022/23
SA Abbott,2,2,15,7,32,4,2/1,8,2.13,22.5,0,0,2022
SA Abbott,1,1,10,0,84,1,1/84,84,8.4,60,0,0,2020/21
SA Abbott,3,3,19,0,125,1,1/36,125,6.57,114,0,0,2021/22
SPD Smith,10,3,4,0,32,1,1/6,32,8,24,0,0,2019
TM Head,3,3,12,0,72,2,2/35,36,6,36,0,0,2021/22
TM Head,8,5,28,0,156,2,2/39,78,5.57,84,0,0,2023/24
