Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
HH Pandya,6,6,1,310,92*,62,252,123.01,0,3,0,21,14,2020/21
HH Pandya,9,9,2,226,48,32.28,201,112.43,0,0,1,21,4,2019
HH Pandya,8,7,0,198,54,28.28,215,92.09,0,1,0,16,6,2022/23
HH Pandya,8,5,1,174,87,43.5,181,96.13,0,2,0,11,6,2023
HH Pandya,3,2,0,100,71,50,99,101.01,0,1,0,12,0,2022
HH Pandya,3,2,0,61,45,30.5,42,145.23,0,0,0,6,5,2018/19
HH Pandya,3,2,0,19,19,9.5,20,95,0,0,1,3,0,2021
Ishan Kishan,8,8,1,366,210,52.28,325,112.61,1,1,0,36,18,2022/23
Ishan Kishan,9,7,1,327,82,54.5,340,96.17,0,4,0,34,8,2023
Ishan Kishan,4,4,0,96,47,24,92,104.34,0,0,1,9,4,2023/24
Ishan Kishan,2,2,0,60,59,30,46,130.43,0,1,0,8,2,2021
Ishan Kishan,3,2,0,56,50,28,74,75.67,0,1,0,6,0,2022
Ishan Kishan,1,1,0,28,28,28,36,77.77,0,0,0,2,1,2021/22
KL Rahul,9,9,1,535,112,66.87,533,100.37,2,3,0,41,15,2019/20
KL Rahul,12,11,4,483,102,69,502,96.21,1,3,0,41,11,2023/24
KL Rahul,9,9,1,361,111,45.12,466,77.46,1,2,1,31,5,2019
KL Rahul,9,9,2,321,75*,45.85,399,80.45,0,3,0,27,7,2022/23
KL Rahul,6,6,1,270,108,54,267,101.12,1,2,0,16,11,2020/21
KL Rahul,4,3,1,169,111*,84.5,189,89.41,1,0,0,16,2,2023
KL Rahul,4,4,0,125,55,31.25,154,81.16,0,1,0,10,2,2021/22
KL Rahul,3,2,0,31,30,15.5,51,60.78,0,0,0,1,1,2022
KL Rahul,1,1,0,26,26,26,31,83.87,0,0,0,1,0,2018/19
Kuldeep Yadav,11,6,1,40,15,8,71,56.33,0,0,0,3,0,2018/19
Kuldeep Yadav,12,7,3,31,10*,7.75,55,56.36,0,0,1,2,0,2022/23
Kuldeep Yadav,7,1,0,17,17,17,15,113.33,0,0,0,2,0,2019/20
Kuldeep Yadav,8,3,1,12,8*,6,37,32.43,0,0,1,1,0,2023
Kuldeep Yadav,10,2,1,11,9*,11,25,44,0,0,0,1,0,2023/24
Kuldeep Yadav,1,1,0,5,5,5,8,62.5,0,0,0,0,0,2021/22
Mohammed Shami,3,1,0,23,23,23,28,82.14,0,0,0,2,1,2022
Mohammed Shami,8,4,2,20,14,10,17,117.64,0,0,1,1,1,2022/23
Mohammed Shami,11,5,1,15,8,3.75,18,83.33,0,0,0,2,0,2018/19
Mohammed Shami,2,2,0,14,13,7,14,100,0,0,0,1,1,2020/21
Mohammed Shami,7,3,2,11,10,11,17,64.7,0,0,0,1,0,2019/20
Mohammed Shami,2,1,0,6,6,6,6,100,0,0,0,1,0,2023
Mohammed Shami,7,4,1,5,3*,1.66,11,45.45,0,0,1,0,0,2019
Mohammed Shami,7,3,1,4,2,2,10,40,0,0,0,0,0,2023/24
Mohammed Siraj,14,6,3,21,9,7,50,42,0,0,1,1,0,2022/23
