Match,Innings,Date,M/Inns,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,,23/06/2007,2nd,Ireland,Civil Service Cricket Club,did not bat,-,-,-,,0,,-
2,1,26/06/2007,1st,South Africa,Civil Service Cricket Club,b J H Kallis,8,9,88.89,,8,8,88.89
3,2,05/10/2007,2nd,Australia,Rajiv Gandhi International Stadium,c B Lee b J R Hopes,1,4,25,,9,4.5,69.23
4,3,18/11/2007,2nd,Pakistan,Sawai Mansingh Stadium,c Yasir Hameed b Shoaib Malik,52,61,85.25,,61,20.33,82.43
5,4,03/02/2008,1st,Australia,Brisbane Cricket Ground,c †A C Gilchrist b B Lee,29,43,67.44,,90,22.5,76.92
6,5,04/02/2008,1st,Sri Lanka,Brisbane Cricket Ground,c †K C Sangakkara b M Muralitharan,0,2,0,,90,18,75.63
7,6,10/02/2008,2nd,Australia,Melbourne Cricket Ground,not out,39*,61,63.93,,129,25.8,71.67
8,7,12/02/2008,1st,Sri Lanka,Manuka Oval,not out,70*,64,109.38,,199,39.8,81.56
9,8,17/02/2008,2nd,Australia,Adelaide Oval,c †A C Gilchrist b J R Hopes,1,3,33.33,,200,33.33,80.97
10,9,19/02/2008,2nd,Sri Lanka,Adelaide Oval,c L P C Silva b M Muralitharan,24,36,66.67,,224,32,79.15
11,10,24/02/2008,2nd,Australia,Sydney Cricket Ground,c †A C Gilchrist b N W Bracken,1,3,33.33,,225,28.13,78.67
12,11,26/02/2008,2nd,Sri Lanka,Bellerive Oval,not out,3*,7,42.86,,228,28.5,77.82
13,12,02/03/2008,2nd,Australia,Sydney Cricket Ground,b J R Hopes,66,87,75.86,,294,32.67,77.37
14,13,04/03/2008,1st,Australia,Brisbane Cricket Ground,c A Symonds b M J Clarke,2,5,40,,296,29.6,76.88
15,14,10/06/2008,1st,Pakistan,Shere Bangla National Stadium,b Shahid Afridi,9,27,33.33,,305,27.73,74.03
16,15,12/06/2008,2nd,Bangladesh,Shere Bangla National Stadium,c Mashrafe Mortaza b Abdur Razzak,26,43,60.47,,331,27.58,72.75
17,16,14/06/2008,2nd,Pakistan,Shere Bangla National Stadium,c sub b Umar Gul,24,27,88.89,,355,27.31,73.65
18,17,25/06/2008,1st,Hong Kong,National Stadium (Karachi),run out,11,29,37.93,,366,26.14,71.62
19,18,26/06/2008,2nd,Pakistan,National Stadium (Karachi),not out,0*,1,0,,366,26.14,71.48
20,19,28/06/2008,2nd,Bangladesh,National Stadium (Karachi),c Farhad Reza b Shahadat Hossain,22,23,95.65,,388,25.87,72.52
21,20,02/07/2008,1st,Pakistan,National Stadium (Karachi),c Abdur Rauf b Iftikhar Anjum,58,71,81.69,,446,27.88,73.6
22,21,03/07/2008,2nd,Sri Lanka,National Stadium (Karachi),not out,22*,28,78.57,,468,29.25,73.82
23,22,06/07/2008,2nd,Sri Lanka,National Stadium (Karachi),lbw b B A W Mendis,3,8,37.5,,471,27.71,73.36
24,23,18/08/2008,1st,Sri Lanka,Rangiri Dambulla International Stadium,c D P M D Jayawardene b T Thushara,19,31,61.29,,490,27.22,72.81
25,24,20/08/2008,2nd,Sri Lanka,Rangiri Dambulla International Stadium,lbw b T Thushara,0,2,0,,490,25.79,72.59
26,25,24/08/2008,1st,Sri Lanka,R Premadasa Stadium,c C K Kapugedera b T Thushara,32,32,100,,522,26.1,73.83
27,26,27/08/2008,1st,Sri Lanka,R Premadasa Stadium,c B S M Warnapura b B A W Mendis,18,23,78.26,,540,25.71,73.97
28,27,29/08/2008,2nd,Sri Lanka,R Premadasa Stadium,lbw b K M D N Kulasekara,3,5,60,,543,24.68,73.88
29,28,14/11/2008,1st,England,Madhavrao Scindia Cricket Ground,not out,11*,8,137.5,,554,25.18,74.56
30,29,17/11/2008,1st,England,Holkar Cricket Stadium,c O A Shah b S C J Broad,3,13,23.08,,557,24.22,73.68
31,30,20/11/2008,2nd,England,Green Park,c †M J Prior b G P Swann,28,41,68.29,,585,24.38,73.4
32,31,26/11/2008,2nd,England,Barabati Stadium,not out,8*,10,80,,593,24.71,73.48
33,32,28/01/2009,2nd,Sri Lanka,Rangiri Dambulla International Stadium,not out,25*,30,83.33,,618,25.75,73.84
34,33,05/02/2009,1st,Sri Lanka,R Premadasa Stadium,not out,4*,6,66.67,,622,25.92,73.78
35,34,08/02/2009,2nd,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b M F Maharoof,15,22,68.18,,637,25.48,73.64
36,,11/03/2009,2nd,New Zealand,Seddon Park,did not bat,-,-,-,,637,25.48,73.64
37,35,14/03/2009,1st,New Zealand,Eden Park,not out,43*,74,58.11,,680,27.2,72.42
38,36,26/06/2009,1st,West Indies,Sabina Park,c D J Bravo b L S Baker,4,12,33.33,,684,26.31,71.92
39,37,28/06/2009,1st,West Indies,Sabina Park,c R S Morton b R Rampaul,0,2,0,,684,25.33,71.77
40,38,03/07/2009,2nd,West Indies,Daren Sammy National Cricket Stadium,c D E Bernard b D J Bravo,11,9,122.22,,695,24.82,72.25
41,,05/07/2009,,West Indies,Daren Sammy National Cricket Stadium,did not bat,-,-,-,,695,24.82,72.25
42,39,27/02/2010,2nd,South Africa,Narendra Modi Stadium,c L L Tsotsobe b J Botha,48,61,78.69,,743,25.62,72.63
43,40,28/05/2010,1st,Zimbabwe,Queens Sports Club,c †B R M Taylor b C B Mpofu,114,119,95.8,,857,28.57,75.04
44,41,30/05/2010,2nd,Sri Lanka,Queens Sports Club,not out,101*,100,101,,958,31.93,77.13
45,42,03/06/2010,1st,Zimbabwe,Harare Sports Club,run out,13,25,52,,971,31.32,76.64
46,43,05/06/2010,1st,Sri Lanka,Harare Sports Club,b S Randiv,32,40,80,,1003,31.34,76.74
47,44,16/06/2010,2nd,Bangladesh,Rangiri Dambulla International Stadium,lbw b Shakib Al Hasan,0,1,0,,1003,30.39,76.68
48,45,19/06/2010,2nd,Pakistan,Rangiri Dambulla International Stadium,lbw b Shahid Afridi,22,24,91.67,,1025,30.15,76.95
49,46,22/06/2010,1st,Sri Lanka,Rangiri Dambulla International Stadium,run out,69,73,94.52,,1094,31.26,77.86
50,47,24/06/2010,1st,Sri Lanka,Rangiri Dambulla International Stadium,c M F Maharoof b K M D N Kulasekara,41,52,78.85,,1135,31.53,77.9
51,48,10/08/2010,2nd,New Zealand,Rangiri Dambulla International Stadium,c L R P L Taylor b D R Tuffey,4,11,36.36,,1139,30.78,77.59
52,49,16/08/2010,2nd,Sri Lanka,Rangiri Dambulla International Stadium,lbw b A D Mathews,0,2,0,,1139,29.97,77.48
53,50,21/08/2010,1st,Sri Lanka,Rangiri Dambulla International Stadium,lbw b A D Mathews,11,21,52.38,,1150,29.49,77.13
54,51,28/08/2010,2nd,Sri Lanka,Rangiri Dambulla International Stadium,st K C Sangakkara b S Randiv,5,9,55.56,,1155,28.88,77
55,52,07/12/2010,2nd,New Zealand,M Chinnaswamy Stadium,c D L Vettori b T G Southee,44,48,91.67,,1199,29.24,77.45
56,,10/12/2010,2nd,New Zealand,MA Chidambaram Stadium,did not bat,-,-,-,,1199,29.24,77.45
57,53,12/01/2011,2nd,South Africa,Kingsmead,c †A B de Villiers b M Morkel,11,27,40.74,,1210,28.81,76.83
58,54,15/01/2011,1st,South Africa,Wanderers Stadium,lbw b M Morkel,9,14,64.29,,1219,28.35,76.71
59,55,18/01/2011,2nd,South Africa,Newlands,b M Morkel,23,45,51.11,,1242,28.23,76.01
60,56,21/01/2011,2nd,South Africa,St George's Park,c J-P Duminy b L L Tsotsobe,1,6,16.67,,1243,27.62,75.79
61,57,23/01/2011,2nd,South Africa,SuperSport Park,b L L Tsotsobe,5,8,62.5,,1248,27.13,75.73
62,58,06/06/2011,2nd,West Indies,Queen's Park Oval,not out,68*,75,90.67,,1316,28.61,76.38
63,59,08/06/2011,2nd,West Indies,Queen's Park Oval,not out,7*,14,50,,1323,28.76,76.17
64,60,11/06/2011,2nd,West Indies,Sir Vivian Richards Stadium,not out,86*,91,94.51,,1409,30.63,77.08
