Match,Innings,Date,M/Inns,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,1,18/08/2008,1st,Sri Lanka,Rangiri Dambulla International Stadium,lbw b K M D N Kulasekara,12,22,54.55,,12,12,54.55
2,2,20/08/2008,2nd,Sri Lanka,Rangiri Dambulla International Stadium,c C K Kapugedera b T Thushara,37,67,55.22,,49,24.5,55.06
3,3,24/08/2008,1st,Sri Lanka,R Premadasa Stadium,run out,25,38,65.79,,74,24.67,58.27
4,4,27/08/2008,1st,Sri Lanka,R Premadasa Stadium,b T Thushara,54,66,81.82,,128,32,66.32
5,5,29/08/2008,2nd,Sri Lanka,R Premadasa Stadium,lbw b K M D N Kulasekara,31,46,67.39,,159,31.8,66.53
6,6,14/09/2009,1st,Sri Lanka,R Premadasa Stadium,not out,2*,2,100,,161,32.2,66.8
7,7,26/09/2009,2nd,Pakistan,SuperSport Park,c Umar Gul b Shahid Afridi,16,24,66.67,,177,29.5,66.79
8,,28/09/2009,,Australia,SuperSport Park,did not bat,-,-,-,,177,29.5,66.79
9,8,30/09/2009,2nd,West Indies,Wanderers Stadium,not out,79*,104,75.96,,256,42.67,69.38
10,9,25/10/2009,2nd,Australia,Reliance Stadium,c S R Watson b A C Voges,30,41,73.17,,286,40.86,69.76
11,10,02/11/2009,2nd,Australia,Punjab Cricket Association IS Bindra Stadium,c †G A Manou b D E Bollinger,10,16,62.5,,296,37,69.48
12,11,15/12/2009,1st,Sri Lanka,Madhavrao Scindia Cricket Ground,b U W M B C A Welegedara,27,19,142.11,,323,35.89,72.58
13,12,18/12/2009,1st,Sri Lanka,Vidarbha Cricket Association Stadium,lbw b S Randiv,54,65,83.08,,377,37.7,73.92
14,13,24/12/2009,2nd,Sri Lanka,Eden Gardens,c sub b S Randiv,107,114,93.86,,484,44,77.56
15,,27/12/2009,,Sri Lanka,Arun Jaitley Stadium,did not bat,-,-,-,,484,44,77.56
16,14,05/01/2010,1st,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b U W M B C A Welegedara,9,12,75,,493,41.08,77.52
17,15,07/01/2010,2nd,Bangladesh,Shere Bangla National Stadium,c & b Shakib Al Hasan,91,102,89.22,,584,44.92,79.13
18,16,10/01/2010,2nd,Sri Lanka,Shere Bangla National Stadium,not out,71*,68,104.41,,655,50.38,81.27
19,17,11/01/2010,2nd,Bangladesh,Shere Bangla National Stadium,not out,102*,95,107.37,,757,58.23,84.02
20,18,13/01/2010,1st,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b U W M B C A Welegedara,2,8,25,,759,54.21,83.5
21,19,21/02/2010,1st,South Africa,Sawai Mansingh Stadium,c H H Gibbs b J A Morkel,31,46,67.39,,790,52.67,82.72
22,,24/02/2010,1st,South Africa,Captain Roop Singh Stadium,did not bat,-,-,-,,790,52.67,82.72
23,20,27/02/2010,2nd,South Africa,Narendra Modi Stadium,c †M V Boucher b D W Steyn,57,71,80.28,,847,52.94,82.55
24,21,28/05/2010,1st,Zimbabwe,Queens Sports Club,run out,0,0,-,,847,49.82,82.55
25,22,30/05/2010,2nd,Sri Lanka,Queens Sports Club,c C R D Fernando b S Randiv,82,92,89.13,,929,51.61,83.09
26,23,03/06/2010,1st,Zimbabwe,Harare Sports Club,c †T Taibu b P Utseya,18,29,62.07,,947,49.84,82.56
27,24,05/06/2010,1st,Sri Lanka,Harare Sports Club,c B M A J Mendis b T Thushara,68,95,71.58,,1015,50.75,81.72
28,25,16/06/2010,2nd,Bangladesh,Rangiri Dambulla International Stadium,st Mushfiqur Rahim b Shakib Al Hasan,11,22,50,,1026,48.86,81.17
29,26,19/06/2010,2nd,Pakistan,Rangiri Dambulla International Stadium,b Saeed Ajmal,18,27,66.67,,1044,47.45,80.87
30,27,22/06/2010,1st,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b M F Maharoof,10,14,71.43,,1054,45.83,80.77
