Match,Innings,Date,M/Inns,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,1,19/01/2013,1st,New Zealand,Boland Park,c N L McCullum b J E C Franklin,18,34,52.94,,18,18,52.94
2,2,22/01/2013,2nd,New Zealand,Diamond Oval,b K D Mills,25,28,89.29,,43,21.5,69.35
3,3,25/01/2013,2nd,New Zealand,Senwes Park,b J E C Franklin,31,38,81.58,,74,24.67,74
4,4,24/03/2013,2nd,Pakistan,Willowmoore Park,b Junaid Khan,3,12,25,,77,19.25,68.75
5,5,26/07/2013,1st,Sri Lanka,Pallekele International Cricket Stadium,c †K C Sangakkara b N L T C Perera,20,28,71.43,,97,19.4,69.29
6,6,28/07/2013,1st,Sri Lanka,Pallekele International Cricket Stadium,b S L Malinga,8,9,88.89,,105,17.5,70.47
7,7,31/07/2013,2nd,Sri Lanka,R Premadasa Stadium,b S M S M Senanayake,27,21,128.57,,132,18.86,77.65
8,8,06/11/2013,1st,Pakistan,Sheikh Zayed Stadium,st Umar Akmal b Shahid Afridi,40,57,70.18,,172,21.5,75.77
9,9,08/11/2013,1st,Pakistan,Sheikh Zayed Stadium,c Misbah-ul-Haq b Junaid Khan,112,135,82.96,,284,31.56,78.45
10,10,11/11/2013,1st,Pakistan,Sharjah Cricket Stadium,lbw b Saeed Ajmal,34,41,82.93,,318,31.8,78.91
11,11,24/11/2013,2nd,Pakistan,Newlands,b Bilawal Bhatti,19,24,79.17,,337,30.64,78.92
12,12,27/11/2013,2nd,Pakistan,St George's Park,c Misbah-ul-Haq b Shahid Afridi,47,52,90.38,,384,32,80.17
13,13,30/11/2013,2nd,Pakistan,SuperSport Park,c Saeed Ajmal b Bilawal Bhatti,15,18,83.33,,399,30.69,80.28
14,14,05/12/2013,1st,India,Wanderers Stadium,c & b V Kohli,135,121,111.57,,534,38.14,86.41
15,15,08/12/2013,1st,India,Kingsmead,c R G Sharma b R Ashwin,106,118,89.83,,640,42.67,86.96
16,16,11/12/2013,1st,India,SuperSport Park,b I Sharma,101,120,84.17,,741,46.31,86.57
17,17,06/07/2014,1st,Sri Lanka,R Premadasa Stadium,b A D Mathews,27,35,77.14,,768,45.18,86.2
18,18,09/07/2014,2nd,Sri Lanka,Pallekele International Cricket Stadium,b S L Malinga,4,6,66.67,,772,42.89,86.06
19,19,12/07/2014,1st,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c B A W Mendis b S M S M Senanayake,128,127,100.79,,900,47.37,87.89
20,20,17/08/2014,1st,Zimbabwe,Queens Sports Club,c B R M Taylor b J Nyumbu,63,68,92.65,,963,48.15,88.19
21,21,19/08/2014,1st,Zimbabwe,Queens Sports Club,c E Chigumbura b J Nyumbu,38,38,100,,1001,47.67,88.58
22,22,21/08/2014,2nd,Zimbabwe,Queens Sports Club,c S C Williams b T Panyangara,84,75,112,,1085,49.32,90.04
23,23,27/08/2014,2nd,Australia,Harare Sports Club,c J P Faulkner b M A Starc,19,18,105.56,,1104,48,90.27
24,24,29/08/2014,1st,Zimbabwe,Harare Sports Club,c T L Chatara b P Utseya,76,76,100,,1180,49.17,90.84
25,25,02/09/2014,2nd,Australia,Harare Sports Club,c S P D Smith b G J Maxwell,1,5,20,,1181,47.24,90.57
26,26,04/09/2014,1st,Zimbabwe,Harare Sports Club,c †B R M Taylor b T L Chatara,2,4,50,,1183,45.5,90.44
27,27,06/09/2014,2nd,Australia,Harare Sports Club,c G J Bailey b G J Maxwell,7,7,100,,1190,44.07,90.49
28,28,21/10/2014,2nd,New Zealand,Bay Oval,c T W M Latham b T A Boult,9,5,180,,1199,42.82,90.83
29,29,24/10/2014,1st,New Zealand,Bay Oval,b M J McClenaghan,26,33,78.79,,1225,42.24,90.54
30,30,27/10/2014,1st,New Zealand,Seddon Park,not out,80*,94,85.11,,1305,45,90.19
31,31,14/11/2014,2nd,Australia,WACA Ground,c †M S Wade b M G Johnson,2,7,28.57,,1307,43.57,89.89
32,32,16/11/2014,2nd,Australia,WACA Ground,c S R Watson b J R Hazlewood,4,8,50,,1311,42.29,89.67
33,33,19/11/2014,2nd,Australia,Manuka Oval,c M R Marsh b J R Hazlewood,47,53,88.68,,1358,42.44,89.64
34,34,21/11/2014,1st,Australia,Melbourne Cricket Ground,c & b G J Maxwell,17,38,44.74,,1375,41.67,88.54
35,35,23/11/2014,1st,Australia,Sydney Cricket Ground,c †M S Wade b P J Cummins,107,123,86.99,,1482,43.59,88.42
36,36,28/01/2015,1st,West Indies,SuperSport Park,c J L Carter b J O Holder,4,7,57.14,,1486,42.46,88.29
37,37,15/02/2015,1st,Zimbabwe,Seddon Park,c C R Ervine b T L Chatara,7,16,43.75,,1493,41.47,87.88
38,38,22/02/2015,2nd,India,Melbourne Cricket Ground,c V Kohli b Mohammed Shami,7,15,46.67,,1500,40.54,87.51
39,39,27/02/2015,1st,West Indies,Sydney Cricket Ground,c A D Russell b J O Holder,12,19,63.16,,1512,39.79,87.25
40,40,03/03/2015,1st,Ireland,Manuka Oval,c †G C Wilson b J F Mooney,1,4,25,,1513,38.79,87.1
41,41,07/03/2015,2nd,Pakistan,Eden Park,c †Sarfaraz Ahmed b Mohammad Irfan,0,2,0,,1513,37.83,87
42,42,11/03/2015,1st,United Arab Emirates,Sky Stadium,c †Saqlain Haider b Amjad Javed,26,45,57.78,,1539,37.54,86.27
43,43,18/03/2015,2nd,Sri Lanka,Sydney Cricket Ground,not out,78*,57,136.84,,1617,39.44,87.83
44,44,24/03/2015,1st,New Zealand,Eden Park,c T G Southee b T A Boult,14,17,82.35,,1631,38.83,87.78
45,45,10/07/2015,2nd,Bangladesh,Shere Bangla National Stadium,c Sabbir Rahman b Nasir Hossain,35,41,85.37,,1666,38.74,87.73
46,46,12/07/2015,1st,Bangladesh,Shere Bangla National Stadium,c Sabbir Rahman b Mustafizur Rahman,2,9,22.22,,1668,37.91,87.42
47,47,15/07/2015,1st,Bangladesh,Zahur Ahmed Chowdhury Stadium,b Mustafizur Rahman,7,8,87.5,,1675,37.22,87.42
48,48,11/10/2015,1st,India,Green Park,c S K Raina b R Ashwin,29,33,87.88,,1704,37.04,87.43
49,49,14/10/2015,2nd,India,Holkar Cricket Stadium,c M M Sharma b Harbhajan Singh,34,36,94.44,,1738,36.98,87.56
50,50,18/10/2015,1st,India,Saurashtra Cricket Association Stadium,run out,103,118,87.29,,1841,38.35,87.54
51,51,22/10/2015,2nd,India,MA Chidambaram Stadium,c A M Rahane b Harbhajan Singh,43,35,122.86,,1884,38.45,88.12
52,52,25/10/2015,1st,India,Wankhede Stadium,c V Kohli b S K Raina,109,87,125.29,,1993,39.86,89.57
53,53,03/02/2016,2nd,England,Mangaung Oval,not out,138*,96,143.75,,2131,42.62,91.81
54,54,06/02/2016,1st,England,St George's Park,lbw b B A Stokes,22,33,66.67,,2153,42.22,91.46
55,55,09/02/2016,2nd,England,SuperSport Park,c J E Root b A U Rashid,135,117,115.38,,2288,44,92.59
